"ROUTE","boardings_Route","alightings_Route","total_Route","boardings_Flagler","alightings_Flagler","total_Flagler"
2,2873.89204129204,2885.33367465867,5759.22571595072,666.79884004884,642.178571428571,1308.97741147741
6,453.478334165834,446.653944666445,900.132278832279,464.733021145521,441.897756410256,906.630777555778
7,4222.84449325185,4242.23705461205,8465.0815478639,6022.85996552467,5690.49215229215,11713.3521178168
11,11531.5360181485,11639.1834915085,23170.719509657,12816.2328088578,11776.5114080364,24592.7442168942
12,3583.07351495291,3615.5576918996,7198.63120685252,1389.43800191037,1216.71008472522,2606.14808663559
17,4463.04163483575,4458.50854382546,8921.55017866121,1015.70015262515,1156.88336663337,2172.58351925852
21,2721.56188199056,2743.73867447912,5465.30055646967,501.492857142857,543.943398268398,1045.43625541126
22,4316.87341269841,4258.14873737374,8575.02215007215,936.736038961039,925.16259018759,1861.89862914863
27,8079.55646298146,8006.26688311688,16085.8233460983,2390.66017316017,2236.28264790765,4626.94282106782
37,4122.58913120333,4103.0515651617,8225.64069636504,2103.95937761069,1899.93149540518,4003.89087301587
42,1500.90206549986,1459.57767967327,2960.47974517313,862.344188001541,900.253853417824,1762.59804141937
51,3338.11219401514,3347.6979582509,6685.81015226603,3550.202999778,3650.90065767566,7201.10365745366
57,512.078377178377,534.751981351981,1046.83035853036,209.407806082806,145.393056943057,354.800863025863
71,1233.24208149951,1161.83448037601,2395.07656187552,290.394866296414,289.55097066676,579.945836963174
73,2333.47189038315,2343.32760074033,4676.79949112348,321.522836498727,299.032371309461,620.555207808188
77,10023.2909340659,9767.90438172938,19791.1953157953,2360.61341991342,2028.39628427128,4389.0097041847
87,1731.93330077077,1745.87971770462,3477.81301847539,459.403160942944,463.869235975583,923.272396918527
137,2064.84129204129,1923.78921911422,3988.63051115551,377.77518037518,312.309523809524,690.084704184704
207,1765.05228872175,1689.57975408935,3454.63204281111,1765.05228872175,1689.57975408935,3454.63204281111
208,1759.76321872572,1593.39738709003,3353.16060581575,1159.93524253524,1074.238855344,2234.17409787924
212,111.664285714286,102.687301587302,214.351587301587,156.501984126984,144.747222222222,301.249206349206
277,868.090486964016,856.90818269278,1724.9986696568,237.204511278195,236.132581453634,473.33709273183
0,73610.8893411005,72926.0159057023,146536.905246803,40058.9697215383,37764.3978384732,77823.3675600115
